"license.number","dba.name","aka.name","facility.address","facility.city","facility.zip","risk.category","status","license.code","latitude","longitude","lat","lng"
"0","Harold's Chicken Shack # 10","Harold's","1709 E 87th ST STE","CHICAGO",60617,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8141606186972,-87.6945306057263,NA,NA
"0","TAPAS LAS RAMBLAS","TAPAS LAS RAMBLAS","5101 N CLARK ST","CHICAGO",60640,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8141606186972,-87.6945306057263,NA,NA
"0","PICNIC",NA,"5700 N LAKE SHORE DR","CHICAGO",60660,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8141606186972,-87.6945306057263,NA,NA
"0","LA MICHOACANA","LA MICHOACANA","4346 S California AVE","CHICAGO",60632,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8141606186972,-87.6945306057263,NA,NA
"0","ESSENTIAL HEALTHY LIVING INC.","ESSENTIAL HEALTHY LIVING INC.","4107 W 47TH ST","CHICAGO",60632,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8141606186972,-87.6945306057263,NA,NA
"0","CASA CENTRAL LA POSADA","CASA CENTRAL LA POSADA",NA,NA,NA,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8141606186972,-87.6945306057263,NA,NA
"1000049","PEPE'S RETAIL MEATS INC","PEPE'S RETAIL MEATS INC","853 W RANDOLPH ST","CHICAGO",60607,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.884261422,-87.6495341312589,NA,NA
"1000125","D & D FOOD & LIQUOR","D & D FOOD & LIQUOR","2006 W DIVISION ST","CHICAGO",60622,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9036493,-87.6773956
"1000209","lakeview food mart","lakeview food mart","711 W BELMONT AVE","CHICAGO",60657,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9399307,-87.647381
"1000245","DUFFY'S TAVERN & GRILLE","DUFFY'S TAVERN & GRILLE","420 1/2 W DIVERSEY PKWY","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9330040997314,-87.6401862908715,NA,NA
"1000368","CHINA KITCHEN","CHINA KITCHEN","4640 S BISHOP ST","CHICAGO",60609,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8092713,-87.661358
"1000572","JEWEL FOOD STORE #3030","JEWEL FOOD STORE #3030","7530 S STONY ISLAND AVE","CHICAGO",60649,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7578056585432,-87.5862682580187,NA,NA
"1000612","NAHA RESTAURANT","NAHA RESTAURANT","500 N CLARK ST","CHICAGO",60654,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8908622377298,-87.6312533312732,NA,NA
"1000774","Crabbby Kim's","Crabbby Kim's","3655 N WESTERN AVE","CHICAGO",60618,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.948345864608,-87.6881554885054,NA,NA
